1,Борщ український з пампушками,120.000000,400.000000,Перші страви,25
2,Солянка м'ясна,140.000000,350.000000,Перші страви,20
3,Стейк Рібай з яловичини,350.000000,250.000000,Основні страви,30
4,Паста Карбонара,180.000000,350.000000,Основні страви,15
5,Лосось на грилі,290.000000,180.000000,Основні страви,25
6,Деруни зі сметаною та грибами,110.000000,300.000000,Гарніри,15
7,Картопля фрі,65.000000,150.000000,Гарніри,10
8,Салат Цезар з куркою,165.000000,280.000000,Салати,15
9,Торт Фондан шоколадний,90.000000,120.000000,Десерти,12
10,Чізкейк Нью-Йорк,115.000000,150.000000,Десерти,5
11,Кава Еспресо,40.000000,0.030000,0.030000,0
12,Кава Капучино,55.000000,0.300000,0.300000,0
13,Чай зелений листовий,50.000000,0.500000,0.500000,0
14,Лимонад класичний,65.000000,0.400000,0.400000,0
15,Кока-Кола в пляшці,45.000000,0.500000,0.500000,0
16,Пиво світле нефільтроване,75.000000,0.500000,0.500000,1
17,Вино червоне сухе Мерло,120.000000,0.150000,0.150000,1
18,Коктейль Мохіто,140.000000,0.350000,0.350000,1
19,Коктейль Апероль Шприц,160.000000,0.300000,0.300000,1
20,Віскі односолодовий,220.000000,0.050000,0.050000,1
21,Каррі Тіньового Монарха,245.000000,400.000000,Гарячі страви,25
